"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 10:30:56 GMT 2022","Tue Jun 28 10:30:57 GMT 2022","772","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем конечную точку изображения","Проверяем конечную точку изображения",""
"passed","Tue Jun 28 10:30:59 GMT 2022","Tue Jun 28 10:31:03 GMT 2022","3892","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверяем активизацию таба в шапке","Проверяем активизацию таба в шапке",""
"passed","Tue Jun 28 10:31:07 GMT 2022","Tue Jun 28 10:31:11 GMT 2022","4095","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка сгенерированого ключа","Проверка сгенерированого ключа",""
"passed","Tue Jun 28 10:31:11 GMT 2022","Tue Jun 28 10:31:15 GMT 2022","3673","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка разворачивания списка","Проверка разворачивания списка",""
"passed","Tue Jun 28 10:30:55 GMT 2022","Tue Jun 28 10:30:55 GMT 2022","460","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем доступ к сайту библиотеки изображений","Получаем доступ к сайту библиотеки изображений",""
"passed","Tue Jun 28 10:30:55 GMT 2022","Tue Jun 28 10:30:55 GMT 2022","341","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня без api_key","Получаем астрономическую картинку дня без api_key",""
"passed","Tue Jun 28 10:30:54 GMT 2022","Tue Jun 28 10:30:55 GMT 2022","407","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня","Получаем астрономическую картинку дня",""
"passed","Tue Jun 28 10:31:15 GMT 2022","Tue Jun 28 10:31:18 GMT 2022","3601","","UI тесты для NasaApi","","UI тесты для NasaApi","Переход к разделу по саджесту","Переход к разделу по саджесту",""
"passed","Tue Jun 28 10:30:55 GMT 2022","Tue Jun 28 10:30:56 GMT 2022","683","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем доступность данных технологического проекта","Проверяем доступность данных технологического проекта",""
"passed","Tue Jun 28 10:31:03 GMT 2022","Tue Jun 28 10:31:07 GMT 2022","3563","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка обязательных полей","Проверка обязательных полей",""
